field,cluster,value,cells,within_cluster_fraction
sample,7,MSC5,7,0.0025754231052244297
sample,7,MSC5-BTI,13,0.004782928623988227
sample,7,MSC5-Dura,29,0.010669610007358351
sample,7,MSC6,1097,0.4036055923473142
sample,7,MSC6-BTI,1460,0.5371596762325239
sample,8,MSC1,3,0.0005595970900951316
sample,8,MSC2,3,0.0005595970900951316
sample,8,MSC3,7,0.0013057265435553068
sample,8,MSC4,15,0.0027979854504756574
sample,8,MSC4-Dura,2,0.00037306472673008767
sample,8,MSC5,48,0.008953553441522105
sample,8,MSC5-BTI,51,0.009513150531617236
sample,8,MSC5-Dura,15,0.0027979854504756574
sample,8,MSC6,2236,0.417086364484238
sample,8,MSC6-BTI,2981,0.5560529751911957
sample,9,MSC1,0,0.0
sample,9,MSC2,0,0.0
sample,9,MSC3,0,0.0
sample,9,MSC4,1,0.0005549389567147614
sample,9,MSC4-Dura,1,0.0005549389567147614
sample,9,MSC5,0,0.0
sample,9,MSC5-BTI,186,0.10321864594894561
sample,9,MSC5-Dura,0,0.0
sample,9,MSC6,73,0.04051054384017758
sample,9,MSC6-BTI,1541,0.8551609322974473
source,0,Dura,14,0.013133208255159476
source,0,Meningioma,1046,0.9812382739212008
source,0,Meningioma brain-tumor interface,6,0.005628517823639775
source,1,Dura,0,0.0
source,1,Meningioma,2994,0.9983327775925308
source,1,Meningioma brain-tumor interface,5,0.0016672224074691564
source,10,Dura,0,0.0
source,10,Meningioma,135,0.020164301717699777
source,10,Meningioma brain-tumor interface,6560,0.9798356982823002
source,11,Dura,104,0.035206499661475966
source,11,Meningioma,2429,0.8222748815165877
source,11,Meningioma brain-tumor interface,421,0.14251861882193637
source,12,Dura,632,0.1398539499889356
source,12,Meningioma,3293,0.7287010400531091
source,12,Meningioma brain-tumor interface,594,0.1314450099579553
source,13,Dura,49,0.06862745098039216
source,13,Meningioma,157,0.21988795518207283
source,13,Meningioma brain-tumor interface,508,0.711484593837535
source,14,Dura,2,0.0002271178741766977
source,14,Meningioma,8384,0.9520781285487168
source,14,Meningioma brain-tumor interface,420,0.04769475357710652
source,15,Dura,0,0.0
source,15,Meningioma,1234,0.5755597014925373
source,15,Meningioma brain-tumor interface,910,0.4244402985074627
source,16,Dura,0,0.0
source,16,Meningioma,2240,0.3314590115418763
source,16,Meningioma brain-tumor interface,4518,0.6685409884581237
