input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
Ogdhl,OGDHL,case_insensitive_unique,19298.0,36.0,True
Ogg1,OGG1,case_insensitive_unique,5497.0,196.0,True
Olah,OLAH,case_insensitive_unique,19031.0,15.0,False
Ostc,OSTC,case_insensitive_unique,7959.0,1157.0,True
Otc,OTC,case_insensitive_unique,13554.0,0.0,False
Oxct1,OXCT1,case_insensitive_unique,8829.0,396.0,True
Oxct2,OXCT2,case_insensitive_unique,815.0,8.0,False
Oxct2a,,unmatched,,,False
Oxct2b,,unmatched,,,False
Oxnad1,OXNAD1,case_insensitive_unique,5590.0,1049.0,True
Oxsm,OXSM,case_insensitive_unique,5630.0,96.0,True
P4ha1,P4HA1,case_insensitive_unique,19451.0,390.0,True
P4ha2,P4HA2,case_insensitive_unique,9469.0,135.0,True
P4ha3,P4HA3,case_insensitive_unique,18231.0,32.0,True
P4hb,P4HB,case_insensitive_unique,28404.0,1135.0,True
Pah,PAH,case_insensitive_unique,21396.0,2.0,False
Paics,PAICS,case_insensitive_unique,7591.0,330.0,True
Pank1,PANK1,case_insensitive_unique,19626.0,49.0,True
Pank2,PANK2,case_insensitive_unique,29229.0,415.0,True
Pank3,PANK3,case_insensitive_unique,9953.0,326.0,True
Pank4,PANK4,case_insensitive_unique,99.0,92.0,True
Papd4,,unmatched,,,False
Papd5,,unmatched,,,False
Papd7,,unmatched,,,False
Papss1,PAPSS1,case_insensitive_unique,7950.0,254.0,True
Papss2,PAPSS2,case_insensitive_unique,19601.0,58.0,True
Park2,,unmatched,,,False
Park7,PARK7,case_insensitive_unique,191.0,2531.0,True
Pars2,PARS2,case_insensitive_unique,1082.0,22.0,True
Pc,PC,case_insensitive_unique,18065.0,60.0,True
Pcbd1,PCBD1,case_insensitive_unique,19425.0,522.0,True
Pcbd2,PCBD2,case_insensitive_unique,9525.0,145.0,True
Pcca,PCCA,case_insensitive_unique,22399.0,137.0,True
Pccb,PCCB,case_insensitive_unique,6556.0,174.0,True
Pck1,PCK1,case_insensitive_unique,29871.0,13.0,False
Pck2,PCK2,case_insensitive_unique,22819.0,126.0,True
Pcx,,unmatched,,,False
Pcyt1a,PCYT1A,case_insensitive_unique,7106.0,285.0,True
Pcyt1b,PCYT1B,case_insensitive_unique,13501.0,12.0,False
Pcyt2,PCYT2,case_insensitive_unique,28413.0,240.0,True
Pde10a,PDE10A,case_insensitive_unique,11712.0,19.0,False
Pde11a,PDE11A,case_insensitive_unique,4797.0,1.0,False
Pde12,PDE12,case_insensitive_unique,6046.0,324.0,True
Pde1a,PDE1A,case_insensitive_unique,4835.0,55.0,True
Pde1b,PDE1B,case_insensitive_unique,20895.0,25.0,True
Pde1c,PDE1C,case_insensitive_unique,12120.0,5.0,False
Pde2a,PDE2A,case_insensitive_unique,18199.0,11.0,False
Pde3a,PDE3A,case_insensitive_unique,20441.0,38.0,True
Pde3b,PDE3B,case_insensitive_unique,17319.0,1089.0,True
Pde4a,PDE4A,case_insensitive_unique,30450.0,202.0,True
Pde4b,PDE4B,case_insensitive_unique,1174.0,1029.0,True
Pde4c,PDE4C,case_insensitive_unique,30757.0,0.0,False
Pde4d,PDE4D,case_insensitive_unique,8942.0,890.0,True
Pde5a,PDE5A,case_insensitive_unique,8027.0,50.0,True
Pde6a,PDE6A,case_insensitive_unique,9796.0,12.0,False
Pde6b,PDE6B,case_insensitive_unique,7160.0,75.0,True
Pde6c,PDE6C,case_insensitive_unique,19667.0,1.0,False
Pde6d,PDE6D,case_insensitive_unique,5277.0,225.0,True
Pde7a,PDE7A,case_insensitive_unique,15029.0,715.0,True
Pde7b,PDE7B,case_insensitive_unique,11472.0,112.0,True
Pde8a,PDE8A,case_insensitive_unique,24835.0,109.0,True
Pde8b,PDE8B,case_insensitive_unique,9103.0,16.0,False
Pde9a,PDE9A,case_insensitive_unique,33348.0,6.0,False
Pdha1,PDHA1,case_insensitive_unique,13465.0,466.0,True
Pdha2,PDHA2,case_insensitive_unique,7870.0,0.0,False
Pdhb,PDHB,case_insensitive_unique,6062.0,685.0,True
Pdhx,PDHX,case_insensitive_unique,17492.0,166.0,True
Pdk1,PDK1,case_insensitive_unique,4732.0,166.0,True
Pdk2,PDK2,case_insensitive_unique,27857.0,210.0,True
Pdk3,PDK3,case_insensitive_unique,13500.0,205.0,True
Pdk4,PDK4,case_insensitive_unique,12571.0,63.0,True
Pdp1,PDP1,case_insensitive_unique,15252.0,212.0,True
Pdp2,PDP2,case_insensitive_unique,26110.0,81.0,True
Pdpr,PDPR,case_insensitive_unique,26218.0,184.0,True
Pdss1,PDSS1,case_insensitive_unique,19112.0,75.0,True
Pdss2,PDSS2,case_insensitive_unique,11254.0,135.0,True
Pdxp,PDXP,case_insensitive_unique,32681.0,0.0,False
Pemt,PEMT,case_insensitive_unique,27032.0,167.0,True
Peo1,,unmatched,,,False
Pfas,PFAS,case_insensitive_unique,26874.0,55.0,True
Pfkfb1,PFKFB1,case_insensitive_unique,13748.0,0.0,False
Pfkfb2,PFKFB2,case_insensitive_unique,2680.0,35.0,True
Pfkfb3,PFKFB3,case_insensitive_unique,18953.0,583.0,True
Pfkfb4,PFKFB4,case_insensitive_unique,5862.0,29.0,True
Pfkl,PFKL,case_insensitive_unique,33389.0,424.0,True
Pfkm,PFKM,case_insensitive_unique,20667.0,118.0,True
Pfkp,PFKP,case_insensitive_unique,18902.0,647.0,True
Pgam1,PGAM1,case_insensitive_unique,19714.0,1405.0,True
Pgam2,PGAM2,case_insensitive_unique,12234.0,9.0,False
Pgam4,PGAM4,case_insensitive_unique,13884.0,0.0,False
Pgam5,PGAM5,case_insensitive_unique,21849.0,183.0,True
Pgd,PGD,case_insensitive_unique,230.0,244.0,True
Pgk1,PGK1,case_insensitive_unique,13883.0,2304.0,True
Pgk2,PGK2,case_insensitive_unique,10967.0,0.0,False
Pgls,PGLS,case_insensitive_unique,30730.0,746.0,True
Pgm1,PGM1,case_insensitive_unique,1158.0,258.0,True
Pgm2,PGM2,case_insensitive_unique,7447.0,191.0,True
Pgm3,PGM3,case_insensitive_unique,11134.0,197.0,True
Pgs1,PGS1,case_insensitive_unique,28310.0,147.0,True
Phgdh,PHGDH,case_insensitive_unique,1669.0,154.0,True
Phka1,PHKA1,case_insensitive_unique,13846.0,51.0,True
Phka2,PHKA2,case_insensitive_unique,13463.0,111.0,True
Phkb,PHKB,case_insensitive_unique,25881.0,405.0,True
Phkg1,PHKG1,case_insensitive_unique,12331.0,124.0,True
Phkg2,PHKG2,case_insensitive_unique,25750.0,370.0,True
Phyh,PHYH,case_insensitive_unique,19010.0,265.0,True
Pigz,PIGZ,case_insensitive_unique,7129.0,44.0,True
Pisd,PISD,case_insensitive_unique,32575.0,189.0,True
Pklr,PKLR,case_insensitive_unique,2014.0,0.0,False
Pkm,PKM,case_insensitive_unique,24602.0,1674.0,True
Pla2g10,PLA2G10,case_insensitive_unique,25435.0,1.0,False
Pla2g12a,PLA2G12A,case_insensitive_unique,7968.0,97.0,True
Pla2g12b,PLA2G12B,case_insensitive_unique,19450.0,0.0,False
Pla2g15,PLA2G15,case_insensitive_unique,26181.0,104.0,True
Pla2g16,PLA2G16,case_insensitive_unique,17896.0,1125.0,True
Pla2g1b,PLA2G1B,case_insensitive_unique,21635.0,4.0,False
Pla2g2a,PLA2G2A,case_insensitive_unique,424.0,4.0,False
Pla2g2c,PLA2G2C,case_insensitive_unique,429.0,1.0,False
Pla2g2d,PLA2G2D,case_insensitive_unique,426.0,0.0,False
Pla2g2e,PLA2G2E,case_insensitive_unique,423.0,0.0,False
Pla2g2f,PLA2G2F,case_insensitive_unique,427.0,0.0,False
Pla2g3,PLA2G3,case_insensitive_unique,32563.0,5.0,False
Pla2g4a,PLA2G4A,case_insensitive_unique,2473.0,12.0,False
Pla2g4b,PLA2G4B,case_insensitive_unique,24195.0,1.0,False
Pla2g4c,PLA2G4C,case_insensitive_unique,31513.0,33.0,True
Pla2g4d,PLA2G4D,case_insensitive_unique,24203.0,0.0,False
Pla2g4e,PLA2G4E,case_insensitive_unique,24201.0,0.0,False
Pla2g4f,PLA2G4F,case_insensitive_unique,24204.0,0.0,False
Pla2g5,PLA2G5,case_insensitive_unique,425.0,1.0,False
Pla2g6,PLA2G6,case_insensitive_unique,32703.0,135.0,True
Pla2g7,PLA2G7,case_insensitive_unique,10945.0,14.0,False
Plb1,PLB1,case_insensitive_unique,3487.0,11.0,False
Pld1,PLD1,case_insensitive_unique,6851.0,63.0,True
Pld2,PLD2,case_insensitive_unique,26724.0,84.0,True
Pld3,PLD3,case_insensitive_unique,31230.0,375.0,True
Pld4,PLD4,case_insensitive_unique,23717.0,8.0,False
Pld5,PLD5,case_insensitive_unique,3046.0,1.0,False
Pld6,PLD6,case_insensitive_unique,27024.0,42.0,True
Plod1,PLOD1,case_insensitive_unique,271.0,134.0,True
Plod2,PLOD2,case_insensitive_unique,6639.0,191.0,True
Plod3,PLOD3,case_insensitive_unique,12685.0,192.0,True
Pmm1,PMM1,case_insensitive_unique,32790.0,422.0,True
Pmm2,PMM2,case_insensitive_unique,25347.0,296.0,True
Pmvk,PMVK,case_insensitive_unique,1981.0,491.0,True
Pnlip,PNLIP,case_insensitive_unique,19917.0,0.0,False
Pnliprp1,PNLIPRP1,case_insensitive_unique,19918.0,0.0,False
Pnliprp2,,unmatched,,,False
Pnliprp3,PNLIPRP3,case_insensitive_unique,19916.0,0.0,False
Pnmt,PNMT,case_insensitive_unique,27469.0,14.0,False
Pnp,PNP,case_insensitive_unique,22578.0,311.0,True
Pnpla1,PNPLA1,case_insensitive_unique,10776.0,0.0,False
Pnpla2,PNPLA2,case_insensitive_unique,17011.0,349.0,True
Pnpla3,PNPLA3,case_insensitive_unique,32845.0,3.0,False
Pnpla4,PNPLA4,case_insensitive_unique,13379.0,122.0,True
Pnpla5,PNPLA5,case_insensitive_unique,32844.0,0.0,False
Pnpla6,PNPLA6,case_insensitive_unique,30333.0,197.0,True
Pnpla7,PNPLA7,case_insensitive_unique,16944.0,21.0,True
Pnpla8,PNPLA8,case_insensitive_unique,12772.0,653.0,True
Pnpo,PNPO,case_insensitive_unique,27782.0,111.0,True
Pnpt1,PNPT1,case_insensitive_unique,3715.0,288.0,True
Pola1,POLA1,case_insensitive_unique,13503.0,92.0,True
Pola2,POLA2,case_insensitive_unique,17977.0,135.0,True
Polb,POLB,case_insensitive_unique,14870.0,203.0,True
Pold1,POLD1,case_insensitive_unique,31644.0,95.0,True
Pold2,POLD2,case_insensitive_unique,12237.0,363.0,True
Pold3,POLD3,case_insensitive_unique,18238.0,259.0,True
Pold4,POLD4,case_insensitive_unique,18075.0,312.0,True
Pole,POLE,case_insensitive_unique,21846.0,125.0,True
Pole2,POLE2,case_insensitive_unique,23019.0,52.0,True
Pole3,POLE3,case_insensitive_unique,16508.0,753.0,True
Pole4,POLE4,case_insensitive_unique,3931.0,861.0,True
Polg,POLG,case_insensitive_unique,24870.0,295.0,True
Polg2,POLG2,case_insensitive_unique,28075.0,143.0,True
Polh,POLH,case_insensitive_unique,10901.0,118.0,True
Poli,POLI,case_insensitive_unique,28900.0,84.0,True
Polk,POLK,case_insensitive_unique,9081.0,427.0,True
Poll,POLL,case_insensitive_unique,19791.0,156.0,True
Polm,POLM,case_insensitive_unique,12235.0,168.0,True
Poln,POLN,case_insensitive_unique,7204.0,25.0,True
Polq,POLQ,case_insensitive_unique,6389.0,43.0,True
Polr1a,POLR1A,case_insensitive_unique,3992.0,222.0,True
Polr1b,POLR1B,case_insensitive_unique,4337.0,101.0,True
Polr1c,POLR1C,case_insensitive_unique,10897.0,197.0,True
Polr1d,POLR1D,case_insensitive_unique,21963.0,1316.0,True
Polr1e,POLR1E,case_insensitive_unique,16040.0,573.0,True
Polr2a,POLR2A,case_insensitive_unique,26828.0,744.0,True
Polr2b,POLR2B,case_insensitive_unique,7600.0,850.0,True
Polr2c,POLR2C,case_insensitive_unique,26027.0,620.0,True
Polr2d,POLR2D,case_insensitive_unique,4448.0,302.0,True
Polr2e,POLR2E,case_insensitive_unique,30083.0,761.0,True
Polr2f,POLR2F,case_insensitive_unique,32694.0,978.0,True
Polr2g,POLR2G,case_insensitive_unique,17872.0,973.0,True
Polr2h,POLR2H,case_insensitive_unique,6962.0,604.0,True
Polr2i,POLR2I,case_insensitive_unique,31080.0,1132.0,True
Polr2j,POLR2J,case_insensitive_unique,12705.0,1166.0,True
Polr2k,POLR2K,case_insensitive_unique,15315.0,1539.0,True
Polr2l,POLR2L,case_insensitive_unique,17015.0,2086.0,True
Polr2m,POLR2M,case_insensitive_unique,24410.0,320.0,True
Polr3a,POLR3A,case_insensitive_unique,19518.0,151.0,True
Polr3b,POLR3B,case_insensitive_unique,21435.0,68.0,True
Polr3c,POLR3C,case_insensitive_unique,1716.0,154.0,True
Polr3d,POLR3D,case_insensitive_unique,14641.0,265.0,True
Polr3e,POLR3E,case_insensitive_unique,25557.0,343.0,True
Polr3f,POLR3F,case_insensitive_unique,29351.0,160.0,True
Polr3g,POLR3G,case_insensitive_unique,9201.0,29.0,True
Polr3h,POLR3H,case_insensitive_unique,32788.0,177.0,True
Polrmt,POLRMT,case_insensitive_unique,30053.0,157.0,True
Ppa1,PPA1,case_insensitive_unique,19415.0,1164.0,True
Ppa2,PPA2,case_insensitive_unique,7935.0,333.0,True
Ppap2a,,unmatched,,,False
Ppap2b,,unmatched,,,False
Ppap2c,,unmatched,,,False
Ppapdc1a,,unmatched,,,False
Ppapdc1b,,unmatched,,,False
Ppat,PPAT,case_insensitive_unique,7589.0,133.0,True
Ppcdc,PPCDC,case_insensitive_unique,24670.0,160.0,True
Ppcs,PPCS,case_insensitive_unique,862.0,626.0,True
Ppif,PPIF,case_insensitive_unique,19530.0,414.0,True
Ppox,PPOX,case_insensitive_unique,2189.0,109.0,True
Prdx1,PRDX1,case_insensitive_unique,936.0,1933.0,True
Prdx2,PRDX2,case_insensitive_unique,30550.0,1012.0,True
Prdx3,PRDX3,case_insensitive_unique,19949.0,567.0,True
Prdx4,PRDX4,case_insensitive_unique,13490.0,490.0,True
Prdx5,PRDX5,case_insensitive_unique,17932.0,1551.0,True
Prdx6,PRDX6,case_insensitive_unique,2339.0,1633.0,True
Prg1,,unmatched,,,False
Prg2,PRG2,case_insensitive_unique,17695.0,0.0,False
Prg3,PRG3,case_insensitive_unique,17694.0,0.0,False
Prg4,PRG4,case_insensitive_unique,2464.0,14.0,False
Prim1,PRIM1,case_insensitive_unique,20983.0,177.0,True
Prim2,PRIM2,case_insensitive_unique,11031.0,236.0,True
Prkaa1,PRKAA1,case_insensitive_unique,8822.0,507.0,True
Prkaa2,PRKAA2,case_insensitive_unique,1103.0,49.0,True
Prodh,PRODH,case_insensitive_unique,32195.0,13.0,False
Prodh2,PRODH2,case_insensitive_unique,31062.0,0.0,False
Prps1,PRPS1,case_insensitive_unique,14016.0,520.0,True
Prps1l1,PRPS1L1,case_insensitive_unique,11977.0,0.0,False
Prps2,PRPS2,case_insensitive_unique,13405.0,223.0,True
Prtfdc1,PRTFDC1,case_insensitive_unique,19099.0,85.0,True
Prune,,unmatched,,,False
Psat1,PSAT1,case_insensitive_unique,16199.0,158.0,True
Psph,PSPH,case_insensitive_unique,12328.0,56.0,True
Pstk,PSTK,case_insensitive_unique,19984.0,139.0,True
Ptgds,PTGDS,case_insensitive_unique,16900.0,368.0,True
Ptges,PTGES,case_insensitive_unique,16743.0,68.0,True
Ptges1,,unmatched,,,False
Ptges2,PTGES2,case_insensitive_unique,16678.0,424.0,True
Ptges3,PTGES3,case_insensitive_unique,20981.0,2033.0,True
Ptges3l1,,unmatched,,,False
Ptgis,PTGIS,case_insensitive_unique,29788.0,23.0,True
Ptgs1,PTGS1,case_insensitive_unique,16580.0,7.0,False
Ptgs2,PTGS2,case_insensitive_unique,2471.0,37.0,True
Pts,PTS,case_insensitive_unique,18552.0,518.0,True
Pus1,PUS1,case_insensitive_unique,21825.0,159.0,True
Pus10,PUS10,case_insensitive_unique,3738.0,128.0,True
Pus3,PUS3,case_insensitive_unique,18785.0,172.0,True
Pus7,PUS7,case_insensitive_unique,12740.0,68.0,True
Pusl1,PUSL1,case_insensitive_unique,48.0,174.0,True
Pycr1,PYCR1,case_insensitive_unique,28418.0,94.0,True
Pycr2,PYCR2,case_insensitive_unique,2864.0,351.0,True
Pycrl,,unmatched,,,False
