field,cluster,value,cells,within_cluster_fraction
cell_subtype,16,Cycling G2M phase meningioma cells 1,3,0.0004462293618920125
cell_subtype,16,Cycling G2M phase meningioma cells 2,84,0.01249442213297635
cell_subtype,16,Cycling S phase meningioma cells,20,0.0029748624126134165
cell_subtype,16,ECM remodeling meningioma cells,6154,0.9153651643611483
cell_subtype,16,G1 phase meningioma cells,136,0.020229064405771234
cell_subtype,16,Glia,4,0.0005949724825226833
cell_subtype,16,Meningioma cells,87,0.012940651494868362
cell_subtype,16,Monocytes,2,0.00029748624126134165
cell_subtype,16,Pericytes,26,0.0038673211363974415
cell_subtype,16,SSTR2A meningioma cells,131,0.019485348802617878
cell_subtype,16,Vascular cells,0,0.0
cell_subtype,2,Active monocytes,0,0.0
cell_subtype,2,CD163 monocytes,2,0.0011383039271485487
cell_subtype,2,CD4 T cells,0,0.0
cell_subtype,2,CD8 T cells,45,0.025611838360842343
cell_subtype,2,Cycling G2M phase meningioma cells 1,17,0.009675583380762664
cell_subtype,2,Cycling G2M phase meningioma cells 2,3,0.001707455890722823
cell_subtype,2,Cycling S phase meningioma cells,6,0.003414911781445646
cell_subtype,2,ECM remodeling meningioma cells,170,0.09675583380762663
cell_subtype,2,G1 phase meningioma cells,1432,0.8150256118383609
cell_subtype,2,Glia,22,0.012521343198634035
cell_subtype,2,Meningioma cells,21,0.01195219123505976
cell_subtype,2,Monocytes,0,0.0
cell_subtype,2,Pericytes,25,0.014228799089356859
cell_subtype,2,SSTR2A meningioma cells,12,0.006829823562891292
cell_subtype,2,Vascular cells,2,0.0011383039271485487
cell_subtype,3,Active monocytes,159,0.04281098546042003
cell_subtype,3,CD163 monocytes,3385,0.9114162627894453
cell_subtype,3,CD4 T cells,0,0.0
cell_subtype,3,CD8 T cells,0,0.0
cell_subtype,3,Cycling G2M phase meningioma cells 1,0,0.0
cell_subtype,3,Cycling G2M phase meningioma cells 2,1,0.00026925148088314486
cell_subtype,3,Cycling S phase meningioma cells,7,0.001884760366182014
cell_subtype,3,ECM remodeling meningioma cells,0,0.0
cell_subtype,3,G1 phase meningioma cells,7,0.001884760366182014
cell_subtype,3,Glia,2,0.0005385029617662897
cell_subtype,3,Meningioma cells,20,0.005385029617662897
cell_subtype,3,Monocytes,131,0.03527194399569197
cell_subtype,3,Pericytes,0,0.0
cell_subtype,3,SSTR2A meningioma cells,0,0.0
cell_subtype,3,Vascular cells,2,0.0005385029617662897
cell_subtype,4,Active monocytes,1456,0.5114155251141552
cell_subtype,4,CD163 monocytes,1261,0.4429223744292237
cell_subtype,4,CD4 T cells,4,0.0014049877063575693
