input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
ALAS1,ALAS1,exact,5979.0,10873.0,True
ALAS2,ALAS2,exact,13750.0,13.0,False
ALB,ALB,exact,7692.0,96.0,True
ALDH18A1,ALDH18A1,exact,19690.0,11236.0,True
ALDH1A1,ALDH1A1,exact,16174.0,1424.0,True
ALDH1B1,ALDH1B1,exact,16053.0,5690.0,True
ALDH1L1,ALDH1L1,exact,6443.0,1312.0,True
ALDH1L2,ALDH1L2,exact,21422.0,6155.0,True
ALDH2,ALDH2,exact,21517.0,35226.0,True
ALDH3A1,ALDH3A1,exact,27100.0,192.0,True
ALDH3A2,ALDH3A2,exact,27095.0,21899.0,True
ALDH3B1,ALDH3B1,exact,18104.0,3589.0,True
ALDH3B2,ALDH3B2,exact,18101.0,0.0,False
ALDH4A1,ALDH4A1,exact,404.0,2228.0,True
ALDH6A1,ALDH6A1,exact,23319.0,11923.0,True
ALDH7A1,ALDH7A1,exact,9427.0,28966.0,True
ALDH9A1,ALDH9A1,exact,2245.0,21941.0,True
ALDOA,ALDOA,exact,25702.0,10707.0,True
ALDOB,ALDOB,exact,16408.0,78.0,True
ALDOC,ALDOC,exact,27181.0,3192.0,True
ALOX12,ALOX12,exact,26781.0,251.0,True
ALOX12B,ALOX12B,exact,26861.0,17.0,False
ALOX15,ALOX15,exact,26710.0,81.0,True
ALOX15B,ALOX15B,exact,26859.0,823.0,True
ALOX5,ALOX5,exact,19246.0,3518.0,True
ALOX5AP,ALOX5AP,exact,21996.0,10674.0,True
ALOXE3,ALOXE3,exact,26863.0,38.0,True
ALPI,ALPI,exact,5286.0,2.0,False
AMACR,AMACR,exact,8758.0,894.0,True
AMD1,AMD1,exact,11292.0,30964.0,True
AMDHD1,AMDHD1,exact,21337.0,398.0,True
AMN,AMN,exact,23663.0,670.0,True
AMPD1,AMPD1,exact,1616.0,3.0,False
AMPD2,AMPD2,exact,1515.0,7119.0,True
AMPD3,AMPD3,exact,17271.0,2315.0,True
AMT,AMT,exact,5900.0,1483.0,True
ANGPTL4,ANGPTL4,exact,30373.0,5742.0,True
ANKRD1,ANKRD1,exact,19641.0,5797.0,True
AOC1,AOC1,exact,13235.0,14.0,False
AOC2,AOC2,exact,27629.0,341.0,True
AOC3,AOC3,exact,27630.0,764.0,True
AOX1,AOX1,exact,4947.0,12512.0,True
APIP,APIP,exact,17491.0,16558.0,True
APOA1,APOA1,exact,18606.0,1772.0,True
APOA2,APOA2,exact,2194.0,4.0,False
APOA4,APOA4,exact,18604.0,2.0,False
APOA5,APOA5,exact,18601.0,0.0,False
APOB,APOB,exact,3372.0,1414.0,True
APOC2,APOC2,exact,31398.0,662.0,True
APOC3,APOC3,exact,18605.0,2.0,False
APOE,APOE,exact,31394.0,43390.0,True
APOM,APOM,exact,10618.0,3028.0,True
APRT,APRT,exact,26529.0,38437.0,True
ARF1,ARF1,exact,2892.0,43304.0,True
ARF3,ARF3,exact,20698.0,26448.0,True
ARG1,ARG1,exact,11418.0,8.0,False
ARG2,ARG2,exact,23230.0,3957.0,True
ARMC8,ARMC8,exact,6573.0,15761.0,True
ARNT,ARNT,exact,1817.0,10046.0,True
ARNT2,ARNT2,exact,24763.0,11669.0,True
ARSA,ARSA,exact,32966.0,4544.0,True
ARSB,ARSB,exact,9112.0,4629.0,True
ARSD,ARSD,exact,13358.0,10023.0,True
ARSF,ARSF,exact,13362.0,2.0,False
ARSG,ARSG,exact,28117.0,11478.0,True
ARSH,ARSH,exact,13361.0,0.0,False
ARSI,ARSI,exact,9805.0,2219.0,True
ARSJ,ARSJ,exact,8003.0,2502.0,True
ARSK,ARSK,exact,9232.0,4385.0,True
ARSL,,unmatched,,,False
ARV1,ARV1,exact,2944.0,9972.0,True
AS3MT,AS3MT,exact,19826.0,27.0,True
ASAH1,ASAH1,exact,14597.0,31788.0,True
ASAH2,ASAH2,exact,19304.0,240.0,True
ASL,ASL,exact,12370.0,10583.0,True
ASMT,ASMT,exact,13348.0,50.0,True
ASNS,ASNS,exact,12581.0,7953.0,True
ASPA,ASPA,exact,26675.0,1548.0,True
ASPG,ASPG,exact,23694.0,353.0,True
ASRGL1,ASRGL1,exact,17842.0,5476.0,True
ASS1,ASS1,exact,16755.0,11038.0,True
ATIC,ATIC,exact,5069.0,17308.0,True
ATP5F1A,ATP5F1A,exact,28835.0,40063.0,True
ATP5F1B,ATP5F1B,exact,20980.0,46313.0,True
ATP5F1C,ATP5F1C,exact,18970.0,40672.0,True
ATP5F1D,ATP5F1D,exact,30089.0,43073.0,True
ATP5F1E,ATP5F1E,exact,29899.0,55912.0,True
ATP5MC1,ATP5MC1,exact,27818.0,37129.0,True
ATP5MC2,ATP5MC2,exact,20854.0,47550.0,True
ATP5MC3,ATP5MC3,exact,4758.0,46298.0,True
ATP5ME,ATP5ME,exact,7163.0,46913.0,True
ATP5MF,ATP5MF,exact,12603.0,43811.0,True
ATP5MG,ATP5MG,exact,18640.0,51287.0,True
ATP5MJ,,unmatched,,,False
ATP5MK,,unmatched,,,False
ATP5PB,ATP5PB,exact,1568.0,35227.0,True
ATP5PD,ATP5PD,exact,28207.0,39751.0,True
ATP5PF,ATP5PF,exact,33109.0,46570.0,True
ATP5PO,ATP5PO,exact,33232.0,41727.0,True
AUH,AUH,exact,16284.0,9074.0,True
AWAT1,AWAT1,exact,13807.0,2.0,False
AWAT2,AWAT2,exact,13801.0,9.0,False
AZIN1,AZIN1,exact,15350.0,23580.0,True
AZIN2,AZIN2,exact,706.0,2765.0,True
B3GALNT1,B3GALNT1,exact,6787.0,10341.0,True
B3GALT1,B3GALT1,exact,4684.0,1627.0,True
B3GALT2,B3GALT2,exact,2503.0,362.0,True
B3GALT4,B3GALT4,exact,10715.0,5229.0,True
B3GALT5,B3GALT5,exact,33308.0,455.0,True
B3GALT6,B3GALT6,exact,41.0,9804.0,True
B3GAT1,B3GAT1,exact,18867.0,1851.0,True
B3GAT2,B3GAT2,exact,11062.0,2107.0,True
B3GAT3,B3GAT3,exact,17856.0,19713.0,True
B3GNT2,B3GNT2,exact,3751.0,12709.0,True
B3GNT3,B3GNT3,exact,30739.0,2.0,False
B3GNT4,B3GNT4,exact,21691.0,430.0,True
B3GNT5,B3GNT5,exact,6931.0,13720.0,True
B3GNT7,B3GNT7,exact,5270.0,3604.0,True
B4GALNT1,B4GALNT1,exact,21019.0,2289.0,True
