cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,Differentiation,Stemness,malignant
MGH54_P9_C09,MGH54,Malignant,4738,5.9002,15.198,-0.1207,0.0181,Not cycling,0.746,Oligo Progenitor,"",0.764091738,-0.739312077,yes
MGH54_P9_C10,MGH54,Malignant,5847,-0.6983,16.566,-0.1673,-0.1198,Not cycling,0.9446,Oligo Progenitor,"",0.781624881,-1.217662926,yes
MGH54_P9_C11,MGH54,Malignant,4493,4.587,13.7991,0.2821,-0.0588,Not cycling,0.5593,NPC/OPC,"",0.630713124,-0.144602215,yes
MGH54_P9_C12,MGH54,Malignant,5855,3.4424,15.2384,0.0337,-0.0869,Not cycling,0.8677,MYC,"",1.189430948,-1.101575806,yes
MGH54_P9_D01,MGH54,Malignant,5508,-0.4557,18.0791,-0.0114,0.1339,Not cycling,0.4863,NPC/OPC,"",0.674811627,-1.042499023,yes
MGH54_P9_D03,MGH54,Malignant,4422,-0.7581,15.9927,-0.0216,-0.0496,Not cycling,0.6616,Oligo Progenitor,"",0.407838084,-0.341932002,yes
MGH54_P9_D04,MGH54,Malignant,4927,-1.2868,16.7645,0.0493,-0.0449,Not cycling,0.6952,Oligo Progenitor,"",0.469039019,-0.795406073,yes
MGH54_P9_D05,MGH54,Malignant,5865,-0.2718,18.3851,-0.1444,-0.0366,Not cycling,1.1757,Oligo Progenitor,Oligo Progenitor,1.188833731,-1.396264307,yes
MGH54_P9_D07,MGH54,Malignant,4966,0.0747,5.5847,-0.2254,-0.0451,Not cycling,2.373,Astrocytes,Astrocytes,-2.951651282,-3.163374191,yes
MGH54_P9_D08,MGH54,Malignant,5387,5.2204,15.4026,-0.0635,-0.0134,Not cycling,0.4415,IG,"",0.343490482,-0.488043,yes
MGH54_P9_D09,MGH54,Malignant,5658,4.3797,16.5438,0.2723,0.1564,Not cycling,0.6739,Stress,"",-0.169299701,0.062210271,yes
MGH54_P9_D10,MGH54,Malignant,5427,4.5929,14.8645,0.0994,0.213,Not cycling,0.2534,Respiration,"",0.204488454,-0.078683727,yes
MGH54_P9_D11,MGH54,Malignant,5032,6.7265,13.9781,-0.011,0.1524,Not cycling,0.8902,MYC,"",0.619143346,-0.455259904,yes
MGH54_P9_D12,MGH54,Malignant,4716,-0.5804,6.0135,-0.0608,0.1414,Not cycling,2.4353,Astrocytes,Astrocytes,-2.202926998,-1.82462999,yes
MGH54_P9_E01,MGH54,Malignant,5061,3.5081,14.0192,-0.1376,0.0299,Not cycling,0.3124,Respiration,"",0.764915887,-0.744878834,yes
MGH54_P9_E02,MGH54,Malignant,4271,2.6553,13.6199,-0.0078,0.0674,Not cycling,0.6161,NPC/OPC,"",-0.114282367,0.802899823,yes
MGH54_P9_E03,MGH54,Malignant,5035,5.7824,15.4785,0.3622,0.0169,Not cycling,0.8597,Stress,"",0.548617934,-0.25541661,yes
MGH54_P9_E04,MGH54,Malignant,5016,2.0447,14.4137,-0.1303,0.0017,Not cycling,0.6179,NPC/OPC,"",-0.053294245,0.487779117,yes
MGH54_P9_E05,MGH54,Malignant,4900,-0.311,18.0586,-0.0998,0.0816,Not cycling,1.1593,Oligo Progenitor,Oligo Progenitor,1.754609645,-1.704026318,yes
MGH54_P9_E06,MGH54,Malignant,5362,4.3128,15.5371,0.1143,0.2942,Not cycling,0.8755,Oligo Progenitor,"",1.229228438,-1.16035786,yes
MGH54_P9_E07,MGH54,Malignant,5242,-1.4682,16.6791,0.0968,0.0829,Not cycling,1.2682,Oligo Progenitor,Oligo Progenitor,1.312816347,-1.665090247,yes
MGH54_P9_E08,MGH54,Malignant,4057,0.9068,18.5624,0.0856,0.0523,Not cycling,0.6711,IG,"",0.405980838,-0.019849553,yes
MGH54_P9_E09,MGH54,Malignant,4918,4.7101,13.7996,0.1805,-0.1073,Not cycling,0.3451,MYC,"",0.24808245,-0.361732678,yes
MGH54_P9_E10,MGH54,Malignant,5101,2.6621,16.267,0.1165,-0.1518,Not cycling,0.8275,Oligo Progenitor,"",1.004430118,-1.239135105,yes
MGH54_P9_E11,MGH54,Malignant,3865,2.7754,14.5643,0.2959,0.1749,Not cycling,0.5046,Oligo Progenitor,"",0.717537333,-0.554607229,yes
